source_id,title,organization,url,country,topic_tags,source_tier,document_type,publication_date,access_date,last_checked_date,license_status,trainable_for_model_flag,retrieval_only_flag,notes
SRC011,About Menstruation,NICHD,https://www.nichd.nih.gov/health/topics/menstruation/conditioninfo,US,menstruation;cycle_basics;physiology,tier1,government_health_topic,,2026-03-14,2026-03-14,retrieval_only,false,true,Foundational NIH source.
SRC012,What Are Menstrual Irregularities?,NICHD,https://www.nichd.nih.gov/health/topics/menstruation/conditioninfo/irregularities,US,irregular_periods;amenorrhea;abnormal_bleeding,tier1,government_health_topic,,2026-03-14,2026-03-14,retrieval_only,false,true,Use for irregularity definitions and causes.
SRC013,What Are the Symptoms of PCOS?,NICHD,https://www.nichd.nih.gov/health/topics/pcos/conditioninfo/symptoms,US,pcos;irregular_periods;hyperandrogenism;fertility,tier1,government_health_topic,2024-07-01,2026-03-14,2026-03-14,retrieval_only,false,true,Good source for symptom constellation and menstrual effects of PCOS.
SRC014,Vaginal Bleeding Between Periods or After Sex,NHS,https://www.nhs.uk/conditions/vaginal-bleeding-between-periods-or-after-sex/,UK,postcoital_bleeding;intermenstrual_bleeding;escalation,tier1,public_health_patient_education,,2026-03-14,2026-03-14,retrieval_only,false,true,Use for red-flag bleeding patterns.
SRC015,Period Problems,NHS,https://www.nhs.uk/conditions/periods/period-problems/,UK,heavy_periods;period_pain;irregular_periods,tier1,public_health_patient_education,,2026-03-14,2026-03-14,retrieval_only,false,true,General NHS period symptom and treatment overview.
SRC016,Standard Days Method,CDC,https://www.cdc.gov/contraception/hcp/usspr/standard-days-method.html,US,fertility_awareness;fertile_window;contraception,tier1,government_clinical_guidance,2024-11-19,2026-03-14,2026-03-14,retrieval_only,false,true,Useful for cycle-based fertility assumptions and STI caveat.
SRC017,Heavy Menstrual Bleeding: Assessment and Management,NICE,https://www.nice.org.uk/guidance/ng88,UK,heavy_bleeding;fibroids;adenomyosis;management,tier1,guideline,2018-03-14,2026-03-14,2026-03-14,retrieval_only,false,true,Guideline for HMB assessment and management; last updated 2021-05-24.
SRC018,Heavy Menstrual Bleeding Quality Standard,NICE,https://www.nice.org.uk/Guidance/QS47,UK,heavy_bleeding;quality_of_life;care_pathway,tier1,quality_standard,2013-09-26,2026-03-14,2026-03-14,retrieval_only,false,true,Useful for framing HMB impact and care quality.
SRC019,Urgent Maternal Warning Signs,CDC,https://www.cdc.gov/hearher/maternal-warning-signs/index.html,US,postpartum;pregnancy;warning_signs,tier1,government_patient_education,,2026-03-14,2026-03-14,retrieval_only,false,true,Use for postpartum emergency escalation where relevant.
SRC020,WHO Guideline to Prevent Adolescent Pregnancies and Improve Girls' Health,WHO,https://www.who.int/news/item/23-04-2025-who-releases-new-guideline-to-prevent-adolescent-pregnancies-and-improve-girls--health,INTL,adolescent_health;pregnancy;reproductive_health,tier1,news_guideline_summary,2025-04-23,2026-03-14,2026-03-14,retrieval_only,false,true,Supplemental context on adolescent reproductive health; not a menstrual core source.
SRC021,Endometriosis,ACOG,https://www.acog.org/womens-health/faqs/endometriosis,US,endometriosis;pelvic_pain;heavy_bleeding;infertility,tier1,faq,2021-02-01,2026-03-14,2026-03-14,retrieval_only,false,true,"Core source for chronic pelvic pain, infertility links, and pain during sex."
SRC022,Uterine Fibroids,ACOG,https://www.acog.org/womens-health/faqs/uterine-fibroids,US,fibroids;heavy_bleeding;pain;anemia;infertility,tier1,faq,,2026-03-14,2026-03-14,retrieval_only,false,true,"Use for bleeding, anemia, pressure, and pain features."
SRC023,When Sex Is Painful,ACOG,https://www.acog.org/womens-health/faqs/when-sex-is-painful,US,dyspareunia;sexual_pain;endometriosis;infection,tier1,faq,2020-03-01,2026-03-14,2026-03-14,retrieval_only,false,true,"Important for painful sex, pelvic floor, infection, and psychosocial contributors."
SRC024,Chronic Pelvic Pain,ACOG,https://www.acog.org/womens-health/faqs/chronic-pelvic-pain,US,chronic_pelvic_pain;endometriosis;adenomyosis;fibroids,tier1,faq,,2026-03-14,2026-03-14,retrieval_only,false,true,"Useful for pain journaling, functional impact, and multi-cause pain assessment."
SRC025,Pelvic Inflammatory Disease,ACOG,https://www.acog.org/womens-health/faqs/pelvic-inflammatory-disease,US,pid;sti;infertility;ectopic_pregnancy,tier1,faq,,2026-03-14,2026-03-14,retrieval_only,false,true,Use for STI-related infertility and ectopic risk.
SRC026,Painful Periods,ACOG,https://www.acog.org/womens-health/faqs/painful-periods,US,dysmenorrhea;period_pain;nausea;sleep_disruption,tier1,faq,,2026-03-14,2026-03-14,retrieval_only,false,true,"Core source for pain severity, associated symptoms, and underlying causes."
SRC027,Premenstrual Syndrome (PMS),ACOG,https://www.acog.org/womens-health/faqs/premenstrual-syndrome,US,pms;pmdd;mood;fatigue;thyroid_overlap,tier1,faq,2021-05-01,2026-03-14,2026-03-14,retrieval_only,false,true,"Important for PMS patterning and overlap with depression, anxiety, thyroid disease, and perimenopause."
SRC028,Endometriosis,Office on Women's Health,https://womenshealth.gov/a-z-topics/endometriosis,US,endometriosis;family_history;short_cycles;infertility,tier1,government_patient_education,2025-11-01,2026-03-14,2026-03-14,retrieval_only,false,true,Supports family history and risk-factor intake.
SRC029,Pelvic Inflammatory Disease,Office on Women's Health,https://womenshealth.gov/a-z-topics/pelvic-inflammatory-disease,US,pid;fever;discharge;painful_sex;irregular_periods,tier1,government_patient_education,2025-11-01,2026-03-14,2026-03-14,retrieval_only,false,true,Supports PID symptom intake and urgency.
SRC030,Thyroid Disease,Office on Women's Health,https://womenshealth.gov/a-z-topics/thyroid-disease,US,thyroid;amenorrhea;heavy_periods;fertility;menopause_overlap,tier1,government_patient_education,2024-11-01,2026-03-14,2026-03-14,retrieval_only,false,true,Use for endocrine overlap with cycle changes and fertility.
SRC031,Ovarian Cysts,Office on Women's Health,https://womenshealth.gov/a-z-topics/ovarian-cysts,US,ovarian_cysts;pelvic_pain;abnormal_bleeding;dyspareunia,tier1,government_patient_education,2021-01-01,2026-03-14,2026-03-14,retrieval_only,false,true,"Useful for unilateral pain, rupture, torsion, and abnormal bleeding features."
SRC032,Sexually Transmitted Infections,Office on Women's Health,https://womenshealth.gov/a-z-topics/sexually-transmitted-infections,US,sti;ectopic_pregnancy;infertility;screening,tier1,government_patient_education,2024-12-01,2026-03-14,2026-03-14,retrieval_only,false,true,"Use for STI burden, risk framing, and women's complications."
SRC033,About Pelvic Inflammatory Disease (PID),CDC,https://www.cdc.gov/pid/about/index.html,US,pid;infertility;screening;young_women,tier1,government_patient_education,2023-12-13,2026-03-14,2026-03-14,retrieval_only,false,true,Useful for PID risk factors and long-term fertility impact.
SRC034,PID - STI Treatment Guidelines,CDC,https://www.cdc.gov/std/treatment-guidelines/pid.htm,US,pid;abnormal_bleeding;dyspareunia;clinical_threshold,tier1,clinical_guideline,2021-07-22,2026-03-14,2026-03-14,retrieval_only,false,true,Use for low threshold suspicion of PID and symptom criteria.
SRC035,STDs and Infertility,CDC Archive,https://archive.cdc.gov/www_cdc_gov/std/infertility/default.htm,US,sti;infertility;chlamydia;gonorrhea;pid,tier1,government_patient_education,2024-01-30,2026-03-14,2026-03-14,retrieval_only,false,true,Archived CDC page but still useful for infertility linkage and screening context.
SRC036,Adenomyosis - Symptoms & causes,Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/adenomyosis/symptoms-causes/syc-20369138,US,adenomyosis;heavy_bleeding;pelvic_pain;dyspareunia;anemia,tier2,academic_hospital_patient_education,2025-12-20,2026-03-14,2026-03-14,retrieval_only,false,true,Tier 2 source added because strong Tier 1 patient-facing guidance was not found in search.
SRC037,Uterine polyps - Symptoms & causes,Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/uterine-polyps/symptoms-causes/syc-20378709,US,polyps;irregular_bleeding;intermenstrual_bleeding;postmenopausal_bleeding;infertility,tier2,academic_hospital_patient_education,2022-11-15,2026-03-14,2026-03-14,retrieval_only,false,true,Tier 2 source for endometrial polyps and bleeding patterns.
SRC038,Premenstrual dysphoric disorder (PMDD),Office on Women's Health,https://womenshealth.gov/menstrual-cycle/premenstrual-syndrome/premenstrual-dysphoric-disorder-pmdd,US,pmdd;pms;mood;anxiety;depression;sleep,tier1,government_patient_education,2025-09-26,2026-03-14,2026-03-14,retrieval_only,false,true,Important for severe cyclical mood symptoms and escalation.
SRC039,Premenstrual syndrome (PMS),Office on Women's Health,https://womenshealth.gov/menstrual-cycle/premenstrual-syndrome,US,pms;stress;depression;perimenopause;sleep,tier1,government_patient_education,2025-10-01,2026-03-14,2026-03-14,retrieval_only,false,true,"Useful for PMS prevalence, risk factors, and overlap with other conditions."
SRC040,Primary Ovarian Insufficiency (POI),NICHD,https://www.nichd.nih.gov/health/topics/poi/conditioninfo,US,poi;amenorrhea;irregular_periods;fertility;bone_health,tier1,government_health_topic,,2026-03-14,2026-03-14,retrieval_only,false,true,Use for under-40 irregular/absent periods with reduced fertility and non-menopause distinction.
SRC041,Iron-deficiency anemia,Office on Women's Health,https://womenshealth.gov/a-z-topics/iron-deficiency-anemia,US,iron_deficiency;anemia;heavy_periods;fibroids;pregnancy,tier1,government_patient_education,2025-11-01,2026-03-14,2026-03-14,retrieval_only,false,true,"Covers menstrual blood loss, fibroids, pregnancy, iron needs, and symptoms."
SRC042,About Heavy Menstrual Bleeding,CDC,https://www.cdc.gov/female-blood-disorders/about/heavy-menstrual-bleeding.html,US,heavy_bleeding;bleeding_disorders;anemia;clots,tier1,government_patient_education,2024-05-15,2026-03-14,2026-03-14,retrieval_only,false,true,Adds bleeding-disorder angle and operational severity cues.
SRC043,About Bleeding Disorders in Women,CDC,https://www.cdc.gov/female-blood-disorders/about/index.html,US,bleeding_disorders;vwd;menorrhagia;quality_of_life,tier1,government_patient_education,2024-05-15,2026-03-14,2026-03-14,retrieval_only,false,true,Use for bleeding disorder screening logic and burden framing.
SRC044,Signs and Symptoms of Bleeding Disorders in Women,CDC,https://www.cdc.gov/female-blood-disorders/signs-symptoms/index.html,US,bleeding_disorders;heavy_periods;anemia;easy_bleeding,tier1,government_patient_education,2024-05-15,2026-03-14,2026-03-14,retrieval_only,false,true,Useful for screening features beyond menstrual flow alone.
SRC045,Bleeding disorders,Office on Women's Health,https://womenshealth.gov/a-z-topics/bleeding-disorders,US,bleeding_disorders;vwd;heavy_periods;nosebleeds;bruising,tier1,government_patient_education,,2026-03-14,2026-03-14,retrieval_only,false,true,Adds inherited and acquired bleeding-disorder framing in women.
SRC046,Prolactin Levels,MedlinePlus,https://medlineplus.gov/lab-tests/prolactin-levels,US,hyperprolactinemia;amenorrhea;infertility;galactorrhea,tier1,government_medical_test,2023-11-14,2026-03-14,2026-03-14,retrieval_only,false,true,Useful for symptoms and test rationale around hyperprolactinemia.
SRC047,Prolactin blood test,MedlinePlus,https://medlineplus.gov/ency/article/003718.htm,US,hyperprolactinemia;hypothyroidism;pituitary;amenorrhea;infertility,tier1,government_medical_encyclopedia,2024-07-28,2026-03-14,2026-03-14,retrieval_only,false,true,Adds common causes of high prolactin and amenorrhea/infertility links.
SRC048,Infertility,Office on Women's Health,https://womenshealth.gov/a-z-topics/infertility,US,infertility;ovulation;pcos;poi;endometriosis,tier1,government_patient_education,,2026-03-14,2026-03-14,retrieval_only,false,true,Broad infertility overview with female ovulation causes.
SRC049,What are some possible causes of female infertility?,NICHD,https://www.nichd.nih.gov/health/topics/infertility/conditioninfo/causes/causes-female,US,female_infertility;ovulation;endometriosis;fibroids;polyps;poi,tier1,government_health_topic,,2026-03-14,2026-03-14,retrieval_only,false,true,High-value cause map linking cycle disorders to fertility outcomes.
SRC050,What lifestyle and environmental factors may be involved with infertility in females and males?,NICHD,https://www.nichd.nih.gov/health/topics/infertility/conditioninfo/causes/lifestyle,US,infertility;lifestyle;exercise;smoking;substance_use;environment,tier1,government_health_topic,,2026-03-14,2026-03-14,retrieval_only,false,true,Useful for lifestyle/environment contribution to fertility.
SRC051,Diabetes and Polycystic Ovary Syndrome (PCOS),CDC,https://www.cdc.gov/diabetes/risk-factors/pcos-polycystic-ovary-syndrome.html,US,pcos;diabetes;insulin_resistance;metabolic_syndrome;sleep_apnea,tier1,government_patient_education,2024-05-15,2026-03-14,2026-03-14,retrieval_only,false,true,Links menstrual irregularity and infertility to metabolic risk.
SRC052,Anti-Müllerian Hormone Test,MedlinePlus,https://medlineplus.gov/lab-tests/anti-mullerian-hormone-test/,US,amh;ovarian_reserve;pcos;fertility_testing,tier1,government_medical_test,2022-11-08,2026-03-14,2026-03-14,retrieval_only,false,true,Useful for fertility workup and ovarian reserve context.
SRC053,Crawled Page SRC053,NHS,https://www.nhs.uk/conditions/periods/period-problems,INTL,menstrual_reproductive_core,tier2,web_scrape,"9 Apr 2018, 1:15 p.m.",2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC054,Epididymitis,CDC,https://www.cdc.gov/std/treatment-guidelines/epididymitis.htm,INTL,infection_sti,tier2,web_scrape,,2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC055,How to Prevent STIs,CDC,https://www.cdc.gov/sti/prevention/index.html,INTL,infection_sti,tier2,web_scrape,2024-04-09 04:00:00,2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC056,How we develop NICE guidelines,NICE,https://www.nice.org.uk/what-nice-does/our-guidance/about-nice-guidelines/how-we-develop-nice-guidelines,INTL,women_health_general,tier2,web_scrape,,2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC057,Period pain,NHS,https://www.nhs.uk/symptoms/period-pain,INTL,menstrual_reproductive_core,tier2,web_scrape,"19 Oct 2017, 2:43 p.m.",2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC058,About STI Funding,CDC,https://www.cdc.gov/sti-funding/php/about/index.html,INTL,infection_sti,tier2,web_scrape,2024-02-20 05:00:00,2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC059,About Reproductive Health,CDC,https://www.cdc.gov/reproductive-health/about/index.html,INTL,women_health_general,tier2,web_scrape,2025-01-07 00:00:00,2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC060,Vaginal bleeding between periods or after sex,NHS,https://www.nhs.uk/symptoms/vaginal-bleeding-between-periods-or-after-sex,INTL,menstrual_reproductive_core,tier2,web_scrape,"14 Aug 2024, 4:17 p.m.",2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC061,Communication Resources & Social Media,CDC,https://www.cdc.gov/sti/php/communication-resources/index.html,INTL,infection_sti,tier2,web_scrape,2025-09-24 04:00:00,2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC062,Ultrasound scan,NHS,https://www.nhs.uk/tests-and-treatments/ultrasound-scan,INTL,women_health_general,tier2,web_scrape,"18 Oct 2017, 4:09 p.m.",2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC063,Crawled Page SRC063,NICHD,https://www.nichd.nih.gov/ncmhep,INTL,women_health_general,tier2,web_scrape,,2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC064,Vaginal dryness,NHS,https://www.nhs.uk/symptoms/vaginal-dryness,INTL,women_health_general,tier2,web_scrape,"18 Oct 2017, 3:56 p.m.",2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC065,Unintended Pregnancy,CDC,https://www.cdc.gov/reproductive-health/hcp/unintended-pregnancy/index.html,INTL,pregnancy_fertility,tier2,web_scrape,2024-05-15 04:00:00,2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC066,Acerca de la enfermedad inflamatoria pélvica,CDC,https://www.cdc.gov/pid/es/about/acerca-de-la-enfermedad-inflamatoria-pelvica.html,INTL,infection_sti,tier2,web_scrape,2024-04-22 04:00:00,2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC067,STI Awareness Week Toolkit,CDC,https://www.cdc.gov/sti-awareness/php/toolkit/index.html,INTL,infection_sti,tier2,web_scrape,2024-02-06 05:00:00,2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC068,Find Help,NICHD,https://www.nichd.nih.gov/ncmhep/initiatives/moms-mental-health-matters/find-help,INTL,women_health_general,tier2,web_scrape,2023-06-13,2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC069,Teen Pregnancy Projects,CDC,https://www.cdc.gov/reproductive-health/php/teen-pregnancy-projects/index.html,INTL,pregnancy_fertility,tier2,web_scrape,2024-05-15 00:00:00,2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC070,Side effects and risks of the contraceptive injection,NHS,https://www.nhs.uk/contraception/methods-of-contraception/contraceptive-injection/side-effects-and-risks,INTL,contraception,tier2,web_scrape,"29 Feb 2024, 9:22 a.m.",2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC071,Materials,NICHD,https://www.nichd.nih.gov/ncmhep/initiatives/moms-mental-health-matters/materials,INTL,women_health_general,tier2,web_scrape,2022-06-02,2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC072,Crawled Page SRC072,NHS,https://www.nhs.uk/tests-and-treatments/colposcopy/results,INTL,women_health_general,tier2,web_scrape,"3 Oct 2018, 9:01 p.m.",2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC073,Trusted ob-gyn guidance for every body,ACOG,https://www.acog.org/womens-health,INTL,women_health_general,tier2,web_scrape,,2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC074,Menopause,ACOG,https://www.acog.org/topics/menopause,INTL,menopause_perimenopause,tier2,web_scrape,,2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC075,Getting the contraceptive injection,NHS,https://www.nhs.uk/contraception/methods-of-contraception/contraceptive-injection/getting-it,INTL,contraception,tier2,web_scrape,"29 Feb 2024, 9:22 a.m.",2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC076,Perinatal Quality Collaboratives,CDC,https://www.cdc.gov/maternal-infant-health/pqc/index.html,INTL,women_health_general,tier2,web_scrape,2024-05-15 04:00:00,2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC077,Hormone replacement therapy (HRT),NHS,https://www.nhs.uk/medicines/hormone-replacement-therapy-hrt,INTL,endocrine,tier2,web_scrape,"21 Jul 2023, 8:05 a.m.",2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC078,Sjögren's syndrome,NHS,https://www.nhs.uk/conditions/sjogrens-syndrome,INTL,women_health_general,tier2,web_scrape,"23 Oct 2017, 5:35 p.m.",2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC079,Emergency Preparedness and Response Tools and Resources,CDC,https://www.cdc.gov/reproductive-health/php/emergency-tools/index.html,INTL,women_health_general,tier2,web_scrape,2024-05-15 04:00:00,2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC080,Heavy periods,NHS,https://www.nhs.uk/conditions/heavy-periods,INTL,menstrual_reproductive_core,tier2,web_scrape,"23 Oct 2017, 10:51 a.m.",2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC081,Preterm Birth,CDC,https://www.cdc.gov/maternal-infant-health/preterm-birth/index.html,INTL,women_health_general,tier2,web_scrape,2024-11-08 05:00:00,2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC082,CDC Levels of Care Assessment Tool (CDC LOCATe®),CDC,https://www.cdc.gov/maternal-infant-health/php/cdc-locate/index.html,INTL,women_health_general,tier2,web_scrape,2024-05-15 04:00:00,2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC083,Crawled Page SRC083,NICHD,https://www.nichd.nih.gov/health/topics,INTL,women_health_general,tier2,web_scrape,,2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC084,Nosebleed,NHS,https://www.nhs.uk/conditions/nosebleed,INTL,women_health_general,tier2,web_scrape,"23 Oct 2017, 3:04 p.m.",2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC085,Safe to Sleep,NICHD,https://safetosleep.nichd.nih.gov/,INTL,women_health_general,tier2,web_scrape,,2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC086,Severe Maternal Morbidity,CDC,https://www.cdc.gov/maternal-infant-health/php/severe-maternal-morbidity/index.html,INTL,women_health_general,tier2,web_scrape,2024-05-15 00:00:00,2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC087,Angioedema,NHS,https://www.nhs.uk/conditions/angioedema,INTL,women_health_general,tier2,web_scrape,"19 Oct 2017, 4:06 p.m.",2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC088,Crawled Page SRC088,NICHD,https://safetosleep.nichd.nih.gov/resources,INTL,women_health_general,tier2,web_scrape,,2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC089,Crawled Page SRC089,NHS,https://www.nhs.uk/medicines/tranexamic-acid/taking-tranexamic-acid-with-other-medicines-and-herbal-supplements,INTL,women_health_general,tier2,web_scrape,"10 Mar 2023, 11:05 a.m.",2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC090,Crawled Page SRC090,NICHD,https://safetosleep.nichd.nih.gov/campaign,INTL,women_health_general,tier2,web_scrape,,2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC091,Crawled Page SRC091,NHS,https://www.nhs.uk/medicines/tranexamic-acid/common-questions-about-tranexamic-acid,INTL,infection_sti,tier2,web_scrape,"10 Mar 2023, 11:05 a.m.",2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC092,Crawled Page SRC092,NHS,https://www.nhs.uk/medicines/tranexamic-acid/pregnancy-breastfeeding-and-fertility-while-taking-tranexamic-acid,INTL,pregnancy_fertility;postpartum_breastfeeding,tier2,web_scrape,"10 Mar 2023, 11:05 a.m.",2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC093,Blepharitis,NHS,https://www.nhs.uk/conditions/blepharitis,INTL,women_health_general,tier2,web_scrape,"19 Oct 2017, 3:54 p.m.",2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC094,Emollients,NHS,https://www.nhs.uk/tests-and-treatments/emollients,INTL,women_health_general,tier2,web_scrape,"18 Oct 2017, 3:01 p.m.",2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC095,Eating a balanced diet,NHS,https://www.nhs.uk/live-well/eat-well/how-to-eat-a-balanced-diet/eating-a-balanced-diet,INTL,women_health_general,tier2,web_scrape,"23 Feb 2022, 7:46 p.m.",2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC096,Dental check-ups,NHS,https://www.nhs.uk/live-well/healthy-teeth-and-gums/dental-check-ups,INTL,women_health_general,tier2,web_scrape,"18 Jan 2022, 6:51 p.m.",2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC097,Crawled Page SRC097,NICHD,https://safetosleep.nichd.nih.gov/training/native-communities,INTL,women_health_general,tier2,web_scrape,,2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
SRC098,Crawled Page SRC098,NHS,https://www.nhs.uk/tests-and-treatments/hysterectomy,INTL,women_health_general,tier2,web_scrape,"23 Oct 2017, 2 p.m.",2026-03-14,2026-03-14,retrieval_only,false,true,Web-scraped source; needs evidence review before direct clinical claims.
